genename	geneID	chr	strand	start	stop 0
Oxgr1	NM_001001490	chr14	-	120418806	120441657 22851
Tpm4	NM_001001491	chr8	+	74659187	74677028 17841
Lca5l	NM_001001492	chr16	-	96380012	96413864 33852
BC056474	NM_001001493	chr8	+	87604861	87606238 1377
Tnip3	NM_001001495	chr6	+	65540391	65584034 43643
Gja6	NM_001001496	chrX	-	157340047	157344944 4897
Dub2a	NM_001001559	chr7	-	110398599	110401019 2420
Chpf	NM_001001565	chr1	-	75471149	75475854 4705
Chpf	NM_001001566	chr1	-	75471143	75475976 4833
Dab2ip	NM_001001602	chr2	+	35547513	35586514 39001
Gm1019	NM_001001650	chr3	-	85797731	85806413 8682
Sohlh1	NM_001001714	chr2	-	25698516	25702768 4252
Whsc1l1	NM_001001735	chr8	+	26712721	26788444 75723
Itprip	NM_001001738	chr19	-	47969085	47993789 24704
Zfp239	NM_001001792	chr6	+	117813113	117822784 9671
Zfp239	NM_008616	chr6	+	117813113	117822784 9671
Prrxl1	NM_001001796	chr14	+	33413112	33462432 49320
Abhd7	NM_001001804	chr5	+	107832531	107859050 26519
Zfp36l2	NM_001001806	chr17	-	84583268	84587279 4011
2510009E07Rik	NM_001001881	chr16	-	21649117	21694653 45536
Rtel1	NM_001001882	chr2	+	181054454	181091321 36867
Hecw2	NM_001001883	chr1	-	53863717	54251878 388161
C230021P08Rik	NM_001001884	chr15	-	99252464	99288179 35715
Tmem151a	NM_001001885	chr19	-	5079336	5085477 6141
H2-K1	NM_001001892	chr17	-	34132956	34137229 4273
Eea1	NM_001001932	chr10	+	95403328	95508152 104824
Megf10	NM_001001979	chr18	+	57293128	57457120 163992
Limch1	NM_001001980	chr5	+	67137078	67448398 311320
Utp14b	NM_001001981	chr1	+	78654399	78664175 9776
A430105I19Rik	NM_001001982	chr2	-	118579880	118588397 8517
Pi4ka	NM_001001983	chr16	-	17280444	17406407 125963
Fbxl11	NM_001001984	chr19	-	4316146	4397080 80934
Nat8l	NM_001001985	chr5	+	34338705	34348565 9860
8430427H17Rik	NM_001001986	chr2	-	153233202	153309519 76317
2610507B11Rik	NM_001002004	chr11	+	78075161	78104125 28964
Panx2	NM_001002005	chr15	+	88890155	88901337 11182
BC049807	NM_001002008	chr17	+	21704000	21725649 21649
Lmna	NM_001002011	chr3	-	88285070	88307254 22184
Hspa2	NM_001002012	chr12	+	77505162	77507923 2761
Tdrd1	NM_001002238	chr19	+	56900698	56944502 43804
Rpl17	NM_001002239	chr18	+	75160207	75163035 2828
Tdrd1	NM_001002240	chr19	+	56900764	56944502 43738
Tdrd1	NM_001002241	chr19	+	56905201	56944502 39301
Tmem158	NM_001002267	chr9	-	123168174	123169900 1726
Gpr126	NM_001002268	chr10	-	14122390	14264842 142452
Smg6	NM_001002764	chr11	+	74739315	74977950 238635
9830134C10Rik	NM_001002786	chr17	+	29272000	29285921 13921
Ccin	NM_001002787	chr4	+	43996375	43998405 2030
Defb22	NM_001002791	chr2	-	152311401	152315874 4473
Pram1	NM_001002842	chr17	+	33775084	33782651 7567
Fbxl12	NM_001002846	chr9	-	20442230	20449139 6909
Nlrp14	NM_001002894	chr7	+	114310503	114341616 31113
AI413582	NM_001002895	chr17	-	27700713	27702631 1918
Bfsp2	NM_001002896	chr9	-	103327253	103382658 55405
Atg9b	NM_001002897	chr5	-	23889998	23897961 7963
Sirpb1	NM_001002898	chr3	-	15371826	15426427 54601
Higd1c	NM_001002900	chr15	+	100195015	100214386 19371
Penk1	NM_001002927	chr4	-	4060682	4065592 4910
Nup85	NM_001002929	chr11	+	115425775	115445226 19451
Igfl3	NM_001003393	chr7	+	18761842	18767211 5369
1810049H19Rik	NM_001003405	chr6	-	41261230	41264719 3489
EG386551	NM_001003664	chr6	+	41365305	41369592 4287
Zfp457	NM_001003666	chr13	-	67393386	67407348 13962
Krt77	NM_001003667	chr15	-	101690286	101700049 9763
Krt83	NM_001003668	chr15	-	101262224	101269201 6977
Krt74	NM_001003669	chr15	-	101584782	101593868 9086
EG406223	NM_001003670	chr15	-	101454458	101458619 4161
Pcdhac1	NM_001003671	chr18	+	37249789	37347311 97522
Pcdhac2	NM_001003672	chr18	+	37303622	37347311 43689
Ghrhr	NM_001003685	chr6	+	55326288	55338524 12236
Osbpl8	NM_001003717	chr10	+	110601858	110734303 132445
Osbpl8	NM_175489	chr10	+	110601858	110734303 132445
Garnl1	NM_001003719	chr12	-	56703885	56922076 218191
Garnl1	NM_001112714	chr12	-	56703885	56922076 218191
Garnl1	NM_019994	chr12	-	56703885	56922076 218191
Epb4.1l1	NM_001003815	chr2	+	156246874	156368950 122076
Epb4.1l1	NM_013510	chr2	+	156246874	156368950 122076
Erbb2	NM_001003817	chr11	+	98273788	98299030 25242
Kcnq2	NM_001003825	chr2	-	180810283	180869930 59647
Kcnq2	NM_001006668	chr2	-	180810283	180869930 59647
Kcnq2	NM_001006669	chr2	-	180810283	180869930 59647
Kcnq2	NM_001006674	chr2	-	180810283	180869930 59647
Kcnq2	NM_001003824	chr2	-	180810283	180869930 59647
Jph4	NM_001003829	chr14	-	55730136	55734274 4138
Masp2	NM_001003893	chr4	+	147976652	147989589 12937
Tardbp	NM_001003899	chr4	-	147986490	148001105 14615
Tardbp	NM_001003898	chr4	-	147986490	148001105 14615
Tardbp	NM_145556	chr4	-	147986490	148001105 14615
Tardbp	NM_001008546	chr4	-	147986490	148001105 14615
Tardbp	NM_001008545	chr4	-	147986490	148001105 14615
Cltc	NM_001003908	chr11	-	86508154	86570954 62800
Ankib1	NM_001003909	chr5	-	3689999	3803109 113110
BC030307	NM_001003910	chr10	+	86168555	86239588 71033
Adamts7	NM_001003911	chr9	+	90057815	90094940 37125
Arhgef11	NM_001003912	chr3	+	87422672	87541955 119283
Mars	NM_001003913	chr10	-	126733281	126748739 15458
Slc5a12	NM_001003915	chr2	+	110437454	110487926 50472
Zc4h2	NM_001003916	chrX	-	92834535	92853831 19296
Atg9a	NM_001003917	chr1	-	75177439	75188584 11145
Usp7	NM_001003918	chr16	-	8688814	8738435 49621
Ddx11	NM_001003919	chr17	+	66472942	66501508 28566
Brsk1	NM_001003920	chr7	+	4642529	4667599 25070
Rtn3	NM_001003934	chr19	-	7500390	7557779 57389
Rtn3	NM_001003933	chr19	-	7500390	7557779 57389
BC030307	NM_001003939	chr10	+	86168585	86187329 18744
Cyp4x1	NM_001003947	chr4	-	114781286	114806582 25296
5033414K04Rik	NM_001003948	chr1	-	84032875	84281166 248291
ORF61	NM_001003949	chr10	-	79439864	79446990 7126
Rab3ip	NM_001003950	chr10	-	116342839	116387449 44610
Ces7	NM_001003951	chr8	-	96038094	96059607 21513
Sval3	NM_001003952	chr6	+	41918138	41923089 4951
Fbxl10	NM_001003953	chr5	-	123320684	123439101 118417
Senp7	NM_001003971	chr16	+	56075521	56190124 114603
Senp7	NM_025483	chr16	+	56075521	56190124 114603
Senp7	NM_001003972	chr16	+	56075620	56126657 51037
Senp7	NM_001003973	chr16	+	56075620	56126657 51037
Ppp3r2	NM_001004025	chr4	-	49691618	49694855 3237
Fam170a	NM_001004061	chr18	+	50438022	50442673 4651
Crtc1	NM_001004062	chr8	-	72906256	72963516 57260
Zfp386	NM_001004066	chr12	+	117285934	117299062 13128
Zfp386	NM_019565	chr12	+	117285934	117299062 13128
Zfp619	NM_001004139	chr7	+	46773135	46795785 22650
Ckap2	NM_001004140	chr8	-	23278920	23296272 17352
Cyp2j11	NM_001004141	chr4	-	95961198	96015335 54137
Nlrp1a	NM_001004142	chr11	-	70905737	70955868 50131
Usp22	NM_001004143	chr11	-	60965443	60988531 23088
Git1	NM_001004144	chr11	+	77306819	77321276 14457
AI595406	NM_001004147	chr11	-	35610881	35612386 1505
Slc13a5	NM_001004148	chr11	-	72055584	72080106 24522
Zfp366	NM_001004149	chr13	+	99954777	100016987 62210
A4galt	NM_001004150	chr15	-	83057152	83082156 25004
Rtp1	NM_001004151	chr16	+	23429205	23434033 4828
Psg22	NM_001004152	chr7	+	19303438	19312597 9159
AU018091	NM_001004153	chr7	-	3154659	3169149 14490
Rragb	NM_001004154	chrX	+	149574516	149606485 31969
9930012K11Rik	NM_001004155	chr14	-	70554211	70559295 5084
9930012K11Rik	NM_001112735	chr14	-	70554211	70559295 5084
Plekhg5	NM_001004156	chr4	+	151470827	151489509 18682
Scarf1	NM_001004157	chr11	+	75327042	75340082 13040
EG380907	NM_001004158	chr14	-	59777339	59797586 20247
Clec4b2	NM_001004159	chr6	+	123123039	123154337 31298
Gnptab	NM_001004164	chr10	+	87842156	87910074 67918
Sgpp2	NM_001004173	chr1	+	78306920	78416861 109941
AA467197	NM_001004174	chr2	+	122463622	122466812 3190
Maml3	NM_001004176	chr3	-	51491536	51908831 417295
Celsr2	NM_001004177	chr3	-	108193765	108218412 24647
Celsr2	NM_017392	chr3	-	108193765	108218412 24647
AA415398	NM_001004178	chr4	-	119202922	119211472 8550
BC057022	NM_001004180	chr5	+	115018259	115063227 44968
EG434008	NM_001004182	chr6	+	40060251	40198352 138101
Slc28a1	NM_001004184	chr7	+	88259687	88315302 55615
Whdc1	NM_001004185	chr7	+	88716151	88741722 25571
2610020H08Rik	NM_001004187	chr7	+	126937700	126992455 54755
Zfp560	NM_001004190	chr9	-	20149579	20189602 40023
BC048562	NM_001004192	chr9	+	108338892	108348414 9522
Rhox8	NM_001004193	chrX	-	35227952	35232121 4169
Nlrp4e	NM_001004194	chr7	+	24086297	24146941 60644
Amigo1	NM_001004293	chr3	+	107989252	107994695 5443
Amigo1	NM_146137	chr3	+	107989252	107994695 5443
Cntnap2	NM_001004357	chr6	+	45010059	47251370 2241311
Gprasp1	NM_001004359	chrX	+	132277230	132338007 60777
Gprasp1	NM_001005385	chrX	+	132277230	132338007 60777
Gprasp1	NM_026081	chrX	+	132277230	132338007 60777
5730494M16Rik	NM_001004361	chr18	-	25297111	25327133 30022
2610008E11Rik	NM_001004362	chr10	-	78527118	78560318 33200
Nuak1	NM_001004363	chr10	-	83834063	83903216 69153
Ddef2	NM_001004364	chr12	+	21117659	21276032 158373
Ddef2	NM_001098168	chr12	+	21117659	21276032 158373
Ddef2	NM_001135192	chr12	+	21117659	21276032 158373
Actr3b	NM_001004365	chr5	+	25265843	25356159 90316
Scube3	NM_001004366	chr17	+	28279470	28308290 28820
Cxxc4	NM_001004367	chr3	+	133902608	133925053 22445
Wapal	NM_001004436	chr14	+	35487114	35559403 72289
Tacc2	NM_001004468	chr7	+	137720997	137908296 187299
Pigu	NM_001004721	chr2	-	155103987	155183212 79225
Gpr158	NM_001004761	chr2	+	21289193	21752169 462976
Pla2g4c	NM_001004762	chr7	+	13914683	13945292 30609
Znhit3	NM_001005223	chr11	-	84724456	84729848 5392
Olfr1200	NM_001005227	chr2	-	88607459	88608470 1011
Dbx1	NM_001005232	chr7	-	56886868	56892205 5337
Hps5	NM_001005247	chr7	-	54015835	54051055 35220
Hps5	NM_001005248	chr7	-	54015835	54051055 35220
Ypel2	NM_001005341	chr11	-	86749926	86807191 57265
Ypel4	NM_001005342	chr2	+	84574360	84578034 3674
Sp9	NM_001005343	chr2	+	73109981	73113383 3402
BC018101	NM_001005358	chr17	+	17200987	17226592 25605
Spin2	NM_001005370	chrX	+	150266835	150268783 1948
OTTMUSG00000010328	NM_001005371	chr4	-	143399902	143405982 6080
Ado	NM_001005419	chr10	-	67007878	67011690 3812
Gm347	NM_001005420	chr2	+	28303460	28311028 7568
Amica1	NM_001005421	chr9	+	44887265	44916614 29349
Gm1574	NM_001005422	chr13	+	46369089	46395484 26395
Mreg	NM_001005423	chr1	-	72206018	72258881 52863
Gm996	NM_001005424	chr2	-	25430935	25435619 4684
Gm1008	NM_001005425	chr2	-	165176796	165187619 10823
Zcwpw1	NM_001005426	chr5	+	138229094	138263849 34755
Iqsec2	NM_001005475	chrX	+	148613551	148659779 46228
Barhl2	NM_001005477	chr5	-	106881541	106887185 5644
Txlna	NM_001005506	chr4	-	129303326	129317864 14538
Smg7	NM_001005507	chr1	-	154684124	154749786 65662
Arhgap30	NM_001005508	chr1	+	173319142	173340370 21228
Eif2a	NM_001005509	chr3	+	58329965	58361423 31458
Syne2	NM_001005510	chr12	+	76919304	77211915 292611
Lmtk3	NM_001005511	chr7	+	53039277	53059500 20223
Rsrc2	NM_001005523	chr5	-	124183366	124199421 16055
Rsrc2	NM_001005525	chr5	-	124178438	124199416 20978
Rsrc2	NM_025438	chr5	-	124178438	124199416 20978
Aebp2	NM_001005605	chr6	+	140572160	140604002 31842
Phactr1	NM_001005740	chr13	+	42804949	43233881 428932
Phactr1	NM_001005748	chr13	+	43218207	43233881 15674
Parl	NM_001005767	chr16	-	20279893	20302390 22497
Inadl	NM_001005784	chr4	+	98062516	98164324 101808
Inadl	NM_001005787	chr4	+	98213324	98355701 142377
Zfp69	NM_001005788	chr4	-	120602741	120622023 19282
Mcoln2	NM_001005846	chr3	+	145813137	145858476 45339
Aga	NM_001005847	chr8	+	54597079	54608776 11697
Gm609	NM_001005854	chr16	-	45416867	45493082 76215
I830012O16Rik	NM_001005858	chr19	+	34682446	34687891 5445
Rpl34	NM_001005859	chr3	-	130429754	130432222 2468
Clec4a4	NM_001005860	chr6	+	122940384	122974123 33739
Mtus1	NM_001005863	chr8	-	42076265	42219010 142745
Mtus1	NM_001005864	chr8	-	42076265	42140148 63883
Mtus1	NM_001005865	chr8	-	42076265	42127265 51000
Fbxl10	NM_001005866	chr5	-	123320684	123438621 117937
Zmiz2	NM_001005867	chr11	+	6295127	6306165 11038
Zbtb9	NM_001005916	chr17	+	27110159	27113148 2989
Epb4.1l1	NM_001006664	chr2	+	156301572	156368950 67378
Kcnq2	NM_001006675	chr2	-	180820549	180869930 49381
Kcnq2	NM_001006676	chr2	-	180831170	180869930 38760
Kcnq2	NM_001006677	chr2	-	180830945	180869930 38985
Kcnq2	NM_001006679	chr2	-	180843148	180869930 26782
Kcnq2	NM_001006680	chr2	-	180843148	180869930 26782
Kcnq2	NM_001006678	chr2	-	180843148	180869930 26782
OTTMUSG00000010009	NM_001007077	chr4	+	143379267	143385477 6210
Phactr3	NM_001007154	chr2	+	177910053	178071196 161143
Adam22	NM_001007220	chr5	-	8092259	8368081 275822
Adam22	NM_001007221	chr5	-	8092299	8368081 275782
Tdpoz2	NM_001007222	chr3	-	93455492	93456585 1093
Clec3a	NM_001007223	chr8	+	116941985	116949746 7761
Taar2	NM_001007266	chr10	+	23658377	23661389 3012
Dusp13	NM_001007268	chr14	-	22552617	22567844 15227
Zdhhc23	NM_001007460	chr16	-	43969258	43979163 9905
Gsdma3	NM_001007461	chr11	+	98487673	98499403 11730
Pabpnl1	NM_001007462	chr8	-	125143370	125146635 3265
Spag8	NM_001007463	chr4	-	43664600	43666424 1824
Rffl	NM_001007465	chr11	-	82617323	82684234 66911
Noto	NM_001007472	chr6	+	85373922	85378268 4346
Slc7a6os	NM_001007567	chr8	-	108724613	108734818 10205
Zfp251	NM_001007568	chr15	-	76682573	76701811 19238
Pnmal1	NM_001007569	chr7	+	17545143	17547669 2526
Slc25a42	NM_001007570	chr8	-	72708238	72736180 27942
D8Ertd738e	NM_001007571	chr8	-	86770142	86773618 3476
Trpv5	NM_001007572	chr6	-	41602768	41630722 27954
Gm50	NM_001007573	chr4	-	124532482	124539415 6933
Zfp58	NM_001007575	chr13	-	67591102	67601407 10305
Gucy2f	NM_001007576	chrX	-	138515702	138631474 115772
A630018P17Rik	NM_001007577	chrX	-	162937746	162948371 10625
Armcx6	NM_001007578	chrX	-	131282993	131285936 2943
BC080695	NM_001007579	chr4	+	143157369	143163701 6332
Gm784	NM_001007580	chrX	-	103615381	103680542 65161
2810408M09Rik	NM_001007581	chr2	-	165315611	165318824 3213
AY761184	NM_001007582	chr8	-	22812997	22814117 1120
Best3	NM_001007583	chr10	+	116423369	116462096 38727
OTTMUSG00000002038	NM_001007584	chr11	-	94555811	94565813 10002
Akirin2	NM_001007589	chr4	+	34497876	34514157 16281
BB014433	NM_001007591	chr8	-	15041446	15046069 4623
Rtn1	NM_001007596	chr12	-	73312738	73337711 24973
Rtp2	NM_001008230	chr16	-	23925633	23930789 5156
Daam2	NM_001008231	chr17	-	49595346	49703662 108316
Asap3	NM_001008232	chr4	+	135762280	135800824 38544
Plekhn1	NM_001008233	chr4	-	155595564	155601992 6428
Bnip2	NM_001008238	chr9	+	69843284	69854922 11638
Aox3l1	NM_001008419	chr1	+	58335169	58436108 100939
Cdh12	NM_001008420	chr15	+	21041206	21519288 478082
Nol10	NM_001008421	chr12	+	17355266	17436901 81635
Scaf1	NM_001008422	chr7	-	52258319	52271619 13300
Gm1568	NM_001008423	chr12	-	81856433	81861690 5257
Cdsn	NM_001008424	chr17	+	35689072	35694125 5053
Thoc6	NM_001008425	chr17	-	23805585	23810820 5235
EG433365	NM_001008426	chr1	+	155721474	155724001 2527
EG434179	NM_001008427	chr7	-	49915477	49948123 32646
Fbxw12	NM_001008428	chr9	-	109119945	109137238 17293
Taar3	NM_001008429	chr10	+	23669443	23670395 952
P2ry14	NM_001008497	chr3	-	58918546	58934546 16000
P2ry14	NM_133200	chr3	-	58918546	58934546 16000
Wdr34	NM_001008498	chr2	-	29887077	29904399 17322
Taar4	NM_001008499	chr10	+	23680299	23681343 1044
Zfp760	NM_001008501	chr17	+	21844665	21862598 17933
Bbs12	NM_001008502	chr3	+	37211471	37220373 8902
Zc3h14	NM_001008506	chr12	+	99985152	100025984 40832
Zc3h14	NM_029334	chr12	+	99985152	100025984 40832
Adora1	NM_001008533	chr1	-	136095798	136132004 36206
Mxi1	NM_001008542	chr19	+	53385035	53450300 65265
Mxi1	NM_001008543	chr19	+	53404873	53450300 45427
1700001J03Rik	NM_001008547	chr5	-	146994025	146996880 2855
Pde2a	NM_001008548	chr7	+	108570211	108661333 91122
BC043301	NM_001008549	chr7	+	50817739	50830831 13092
Zfyve26	NM_001008550	chr12	-	80333333	80397230 63897
Il4ra	NM_001008700	chr7	+	132695759	132722988 27229
Dab2	NM_001008702	chr15	+	6249833	6390709 140876
Bud31	NM_001008705	chr5	+	145901275	145908943 7668
Calm5	NM_001008706	chr13	+	3837141	3853976 16835
Whrn	NM_001008793	chr4	-	63075943	63156985 81042
Whrn	NM_001008792	chr4	-	63075943	63156985 81042
Whrn	NM_001008791	chr4	-	63075943	63156985 81042
Whrn	NM_001008798	chr4	-	63075943	63094356 18413
Whrn	NM_001008797	chr4	-	63075943	63094356 18413
E130009J12Rik	NM_001008973	chr17	-	65605344	65890122 284778
4921501E09Rik	NM_001009544	chr17	-	33202044	33204771 2727
4930523C11Rik	NM_001009545	chr12	+	114727775	114730046 2271
Naaladl1	NM_001009546	chr19	+	6105797	6115555 9758
Adam26b	NM_001009547	chr8	-	44605217	44613491 8274
Adam38	NM_001009548	chr8	+	41878626	41882657 4031
Zfp36l3	NM_001009549	chrX	-	51075862	51079571 3709
OTTMUSG00000000231	NM_001009550	chr4	-	61808865	61811875 3010
Unc13d	NM_001009573	chr11	-	115923409	115939246 15837
Taar5	NM_001009574	chr10	+	23690511	23691525 1014
Armcx5	NM_001009575	chrX	+	132277230	132281865 4635
Sept11	NM_001009818	chr5	+	93522463	93603984 81521
A3galt2	NM_001009819	chr4	+	128436501	128446542 10041
Smcr7	NM_001009927	chr11	+	60541945	60546453 4508
Brsk2	NM_001009929	chr7	+	149135990	149184910 48920
Brsk2	NM_001009930	chr7	+	149135990	149188137 52147
Txnip	NM_001009935	chr3	+	96361879	96365780 3901
Il19	NM_001009940	chr1	-	132829232	132835818 6586
Dock11	NM_001009947	chrX	+	33428826	33616557 187731
Nrsn2	NM_001009948	chr2	-	152194493	152202302 7809
Mcart1	NM_001009949	chr4	-	45408795	45421633 12838
Slc38a8	NM_001009950	chr8	-	122003502	122025598 22096
BC088983	NM_001009951	chr8	-	59010318	59029363 19045
Abpd	NM_001009952	chr7	-	34149361	34151338 1977
Pde1a	NM_001009979	chr2	-	79699181	79748556 49375
Pde1a	NM_001009978	chr2	-	79699181	79748556 49375
Ficd	NM_001010825	chr5	+	114185794	114190616 4822
Taar7b	NM_001010827	chr10	+	23719744	23720821 1077
Taar6	NM_001010828	chr10	-	23704414	23705452 1038
Taar7a	NM_001010829	chr10	-	23712210	23713287 1077
Taar8a	NM_001010830	chr10	+	23796305	23797340 1035
Taar9	NM_001010831	chr10	-	23828293	23829340 1047
Mdc1	NM_001010833	chr17	+	35978442	35996615 18173
Slc10a5	NM_001010834	chr3	-	10331733	10335656 3923
Taar7e	NM_001010835	chr10	+	23757419	23758496 1077
Ppp1r13l	NM_001010836	chr7	+	19946488	19963882 17394
Taar8b	NM_001010837	chr10	-	23811065	23812045 980
Taar7d	NM_001010838	chr10	+	23747027	23748104 1077
Taar7f	NM_001010839	chr10	+	23769315	23770392 1077
Taar8c	NM_001010840	chr10	-	23820683	23821718 1035
Mrps33	NM_001010930	chr6	-	39751806	39760855 9049
Mrps33	NM_010270	chr6	-	39751806	39760855 9049
Gjb6	NM_001010937	chr14	-	57742139	57752414 10275
Gpr12	NM_001010941	chr5	-	147393725	147396815 3090
Hrh2	NM_001010973	chr13	+	54287497	54317801 30304
Olfr94	NM_001011518	chr17	-	37333750	37334911 1161
Nms	NM_001011684	chr1	+	38995993	39007121 11128
Cyp2c66	NM_001011707	chr19	+	39188387	39261246 72859
Xkr7	NM_001011732	chr2	+	152857587	152881511 23924
Olfr288	NM_001011733	chr15	-	98016443	98025892 9449
Olfr225	NM_001011740	chr11	+	59426467	59427727 1260
Olfr324	NM_001011743	chr11	+	58410893	58411895 1002
Olfr294	NM_001011750	chr7	-	93764145	93765153 1008
Olfr293	NM_001011752	chr7	+	93812173	93813184 1011
Olfr735	NM_001011754	chr14	-	50965050	50966115 1065
Olfr663	NM_001011757	chr7	+	111852082	111853117 1035
Olfr1031	NM_001011759	chr2	+	85831975	85832986 1011
Olfr332	NM_001011770	chr11	-	58303250	58304255 1005
Olfr1419	NM_001011775	chr19	-	11944672	11945704 1032
Olfr286	NM_001011779	chr15	-	98057105	98064881 7776
Olfr287	NM_001011780	chr15	-	98037401	98051487 14086
Olfr543	NM_001011782	chr7	-	109625371	109626382 1011
Olfr212	NM_001011800	chr6	+	116456533	116467983 11450
Olfr304	NM_001011828	chr7	-	93534166	93535168 1002
Olfr119	NM_001011830	chr17	+	37833629	37838582 4953
Xkr9	NM_001011873	chr1	+	13658851	13691804 32953
Xkr4	NM_001011874	chr1	-	3204562	3661579 457017
Trex1	NM_001012236	chr9	-	108960445	108961765 1320
Slc39a12	NM_001012305	chr2	+	14310030	14416604 106574
Hsd3b3	NM_001012306	chr3	-	98545445	98566333 20888
Ccdc55	NM_001012309	chr11	-	76857793	76891881 34088
AI132487	NM_001012310	chr12	+	110089338	110095025 5687
Sctr	NM_001012322	chr1	+	121903556	121960109 56553
OTTMUSG00000007485	NM_001012323	chr4	-	61711268	61715151 3883
Ecm2	NM_001012324	chr13	+	49600178	49628158 27980
Zfp708	NM_001012325	chr13	-	67170333	67198912 28579
Zfp708	NM_001012449	chr13	-	67170333	67198912 28579
Zfp238	NM_001012330	chr1	+	179374791	179380897 6106
Mdk	NM_001012335	chr2	-	91769978	91771856 1878
Mdk	NM_001012336	chr2	-	91769978	91771891 1913
Slc2a9	NM_001012363	chr5	-	38740511	38874624 134113
U46068	NM_001012392	chr2	+	154016553	154046079 29526
Ptpla	NM_001012396	chr2	-	13948457	13977662 29205
Ptpla	NM_013935	chr2	-	13948457	13977662 29205
AU022252	NM_001012400	chr4	-	118898815	118905292 6477
Hspb6	NM_001012401	chr7	+	31338320	31340458 2138
Hs3st6	NM_001012402	chr17	+	24889932	24895629 5697
Kctd14	NM_001012434	chr7	+	104601713	104608066 6353
Kctd14	NM_001010826	chr7	+	104601713	104608066 6353
Zfp708	NM_001012448	chr13	-	67170333	67182481 12148
Ankrd6	NM_001012450	chr4	-	32891009	33010480 119471
Ankrd6	NM_080471	chr4	-	32891009	33010480 119471
Ankrd6	NM_001012451	chr4	-	32891009	33037801 146792
Fut10	NM_001012517	chr8	+	32297849	32371955 74106
Klri1	NM_001012520	chr6	-	129647235	129667150 19915
Acd	NM_001012638	chr8	-	108222058	108224942 2884
AI316807	NM_001012667	chr8	-	23573085	23587302 14217
Wfdc13	NM_001012704	chr2	+	164510606	164513206 2600
Wfdc16	NM_001012723	chr2	-	164460207	164464302 4095
Wfdc6b	NM_001012725	chr2	+	164439199	164443712 4513
Adcy5	NM_001012765	chr16	+	35155721	35304635 148914
Zfp787	NM_001013012	chr7	-	6083090	6107567 24477
Dhrs7c	NM_001013013	chr11	+	67611772	67629504 17732
Lrrn4cl	NM_001013019	chr19	+	8925274	8928399 3125
2010001J22Rik	NM_001013022	chr15	-	89207879	89209755 1876
Mterf	NM_001013023	chr5	-	3890580	3893933 3353
Mterf	NM_172135	chr5	-	3890580	3893933 3353
Usp13	NM_001013024	chr3	+	32716547	32834179 117632
Tgfbrap1	NM_001013025	chr1	-	43104113	43155467 51354
Ttf2	NM_001013026	chr3	-	100742782	100773573 30791
AI597468	NM_001013028	chr10	+	84565520	84580330 14810
1500010J02Rik	NM_001013256	chr11	+	68829586	68849972 20386
